"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",5.1,3.5,1.4,0.2,"setosa"
"2",4.9,3,1.4,0.2,"setosa"
"3",4.7,3.2,1.3,0.2,"setosa"
"4",4.6,3.1,1.5,0.2,"setosa"
"5",5,3.6,1.4,0.2,"setosa"
"6",5.4,3.9,1.7,0.4,"setosa"
"7",4.6,3.4,1.4,0.3,"setosa"
"8",5,3.4,1.5,0.2,"setosa"
"9",4.4,2.9,1.4,0.2,"setosa"
"10",4.9,3.1,1.5,0.1,"setosa"
"11",5.4,3.7,1.5,0.2,"setosa"
"12",4.8,3.4,1.6,0.2,"setosa"
"13",4.8,3,1.4,0.1,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"15",5.8,4,1.2,0.2,"setosa"
"16",5.7,4.4,1.5,0.4,"setosa"
"17",5.4,3.9,1.3,0.4,"setosa"
"18",5.1,3.5,1.4,0.3,"setosa"
"19",5.7,3.8,1.7,0.3,"setosa"
"20",5.1,3.8,1.5,0.3,"setosa"
"21",5.4,3.4,1.7,0.2,"setosa"
"22",5.1,3.7,1.5,0.4,"setosa"
"23",4.6,3.6,1,0.2,"setosa"
"24",5.1,3.3,1.7,0.5,"setosa"
"25",4.8,3.4,1.9,0.2,"setosa"
"26",5,3,1.6,0.2,"setosa"
"27",5,3.4,1.6,0.4,"setosa"
"28",5.2,3.5,1.5,0.2,"setosa"
"29",5.2,3.4,1.4,0.2,"setosa"
"30",4.7,3.2,1.6,0.2,"setosa"
"31",4.8,3.1,1.6,0.2,"setosa"
"32",5.4,3.4,1.5,0.4,"setosa"
"33",5.2,4.1,1.5,0.1,"setosa"
"34",5.5,4.2,1.4,0.2,"setosa"
"35",4.9,3.1,1.5,0.2,"setosa"
"36",5,3.2,1.2,0.2,"setosa"
"37",5.5,3.5,1.3,0.2,"setosa"
"38",4.9,3.6,1.4,0.1,"setosa"
"39",4.4,3,1.3,0.2,"setosa"
"40",5.1,3.4,1.5,0.2,"setosa"
"41",5,3.5,1.3,0.3,"setosa"
"42",4.5,2.3,1.3,0.3,"setosa"
"43",4.4,3.2,1.3,0.2,"setosa"
"44",5,3.5,1.6,0.6,"setosa"
"45",5.1,3.8,1.9,0.4,"setosa"
"46",4.8,3,1.4,0.3,"setosa"
"47",5.1,3.8,1.6,0.2,"setosa"
"48",4.6,3.2,1.4,0.2,"setosa"
"49",5.3,3.7,1.5,0.2,"setosa"
"50",5,3.3,1.4,0.2,"setosa"
"51",7,3.2,4.7,1.4,"notsetosa"
"52",6.4,3.2,4.5,1.5,"notsetosa"
"53",6.9,3.1,4.9,1.5,"notsetosa"
"54",5.5,2.3,4,1.3,"notsetosa"
"55",6.5,2.8,4.6,1.5,"notsetosa"
"56",5.7,2.8,4.5,1.3,"notsetosa"
"57",6.3,3.3,4.7,1.6,"notsetosa"
"58",4.9,2.4,3.3,1,"notsetosa"
"59",6.6,2.9,4.6,1.3,"notsetosa"
"60",5.2,2.7,3.9,1.4,"notsetosa"
"61",5,2,3.5,1,"notsetosa"
"62",5.9,3,4.2,1.5,"notsetosa"
"63",6,2.2,4,1,"notsetosa"
"64",6.1,2.9,4.7,1.4,"notsetosa"
"65",5.6,2.9,3.6,1.3,"notsetosa"
"66",6.7,3.1,4.4,1.4,"notsetosa"
"67",5.6,3,4.5,1.5,"notsetosa"
"68",5.8,2.7,4.1,1,"notsetosa"
"69",6.2,2.2,4.5,1.5,"notsetosa"
"70",5.6,2.5,3.9,1.1,"notsetosa"
"71",5.9,3.2,4.8,1.8,"notsetosa"
"72",6.1,2.8,4,1.3,"notsetosa"
"73",6.3,2.5,4.9,1.5,"notsetosa"
"74",6.1,2.8,4.7,1.2,"notsetosa"
"75",6.4,2.9,4.3,1.3,"notsetosa"
"76",6.6,3,4.4,1.4,"notsetosa"
"77",6.8,2.8,4.8,1.4,"notsetosa"
"78",6.7,3,5,1.7,"notsetosa"
"79",6,2.9,4.5,1.5,"notsetosa"
"80",5.7,2.6,3.5,1,"notsetosa"
"81",5.5,2.4,3.8,1.1,"notsetosa"
"82",5.5,2.4,3.7,1,"notsetosa"
"83",5.8,2.7,3.9,1.2,"notsetosa"
"84",6,2.7,5.1,1.6,"notsetosa"
"85",5.4,3,4.5,1.5,"notsetosa"
"86",6,3.4,4.5,1.6,"notsetosa"
"87",6.7,3.1,4.7,1.5,"notsetosa"
"88",6.3,2.3,4.4,1.3,"notsetosa"
"89",5.6,3,4.1,1.3,"notsetosa"
"90",5.5,2.5,4,1.3,"notsetosa"
"91",5.5,2.6,4.4,1.2,"notsetosa"
"92",6.1,3,4.6,1.4,"notsetosa"
"93",5.8,2.6,4,1.2,"notsetosa"
"94",5,2.3,3.3,1,"notsetosa"
"95",5.6,2.7,4.2,1.3,"notsetosa"
"96",5.7,3,4.2,1.2,"notsetosa"
"97",5.7,2.9,4.2,1.3,"notsetosa"
"98",6.2,2.9,4.3,1.3,"notsetosa"
"99",5.1,2.5,3,1.1,"notsetosa"
"100",5.7,2.8,4.1,1.3,"notsetosa"
"101",6.3,3.3,6,2.5,"notsetosa"
